MIS_NO,MIS_DT,MIS_TYP,PO_NO,ITM_CD,GDN_CD,CHAL_QTY,VENDUQ_QTY,VEND_UQ,VEND_CD,REC_QTY,CHAL_NO,CHAL_DT,RECT_VAL,ACT_QTY,DEV_QTY,RFR_QTY,REJ_QTY,SHT_QTY,TST_QTY,CS_QTY,QLT_RTG,DEL_RTG,MTL_FLG,VAL_FLG,VAL_MTL,INSP_AUTH,INSP_DT,WHAR_DEM,FREIGHT,MC_NT_NO,MC_NT_DT,STAT_CD,MVD_QTY,RV_NO,RV_DT,KOD,COST_CL,PSA_CD,BPLN_NO,DISCOUNT,IGP_NO,BOC_ITM_CD,CON_FACT,WGT,NO_PACKS,PREV_MIS,COMM,COMM1,REMARK,INOTE_NO,REMARK1,QR_QTY,REJ_REASON1,REJ_REASON2,REJ_REASON3,RV_FWD_DT,RV_FWD_TRANS,RV_FWD_SEC,TMP_ACT,STATE_UP,GSTIN_NO,HSN_CD,COMP_SCHEME,GST_EXEMPT,UNIT_RT,CGST_PCT,CGST_AMT,SGST_PCT,SGST_AMT,IGST_PCT,IGST_AMT,MFD_MTH,MFD_YR
20240032,2024/09/04,M,20230359,2101877119,,3415,3415,,S009925009,3415,13,2024/09/04,,0,0,0,3415,0,0,0,0,0,0,0,0,GM OPF,2024/06/05,0,0,,,1,0,,,,,,,0,20240031,2101877119,1,,5,,,,,0,,0,SHADE VARIATION OBSERVED WITHIN & BETWEEN THE ROLLS.,,,,,,0,Y,09ADWPK1340G1ZE,5806,N,N,32.9048,2.5,2809.25,2.5,2809.25,0,0,,
20240033,2024/09/04,M,20230360,2101877120,,440,440,,S009925009,440,15,2024/09/04,17360,434,0,6,0,0,24,0,34.52,3.97,0,0,0,GM OPF,2024/06/05,0,0,,,2,434,S20240165,2024/18/05,,,5,711,0,20240032,2101877120,1,,1,,,,,202400057,N,0,,,,2024/24/05,20240018,6,0,Y,09ADWPK1340G1ZE,5806,N,N,40,2.5,440,2.5,440,0,0,3,2024
20240034,2024/09/04,M,20230324,2101116213,,16989,16989,,S009925009,16989,16,2024/09/04,66050.8968,16737,0,252,0,0,162,0,34.48,13.93,0,0,0,GM OPF,2024/02/05,0,0,,,2,16737,S20240108,2024/09/05,,,5,1518,0,20240033,2101116213,1,,3,,,,,202400049,N,0,,,,2024/10/05,20240010,6,0,Y,09ADWPK1340G1ZE,5806,N,N,3.9464,6,4022.72,6,4022.72,0,0,3,2024
20240035,2024/09/04,M,20200358,2010071033,,36,36,,A000929241,36,6,2024/09/04,13680,36,0,0,0,0,1,0,35,0,0,0,0,GM OPF,2024/11/05,0,0,,,2,36,S20240167,2024/20/05,5,,5,219,0,20240034,2010071033,1,,1,,,,,202400074,N,,,,,2024/24/05,20240019,6,0,Y,09AAOFA1149E1ZK,8804,N,N,380,9,1231.2,9,1231.2,0,0,4,2024
20240036,2024/10/04,C,20231551,2101830052,,100,100,,0,100,1,2024/10/04,2100,100,0,0,0,0,6,0,0,0,0,0,0,GM OPF,2024/02/07,0,0,,,2,100,S20240428,2024/11/07,,,5,219,0,20240035,2101830052,0,,4,,M/S CLASSIC FOAM INDUSTRIES KANPUR,,,0,,0,,,,,,,0,Y,09ACXPK1726G2Z8,5806,N,N,20,2.5,50,2.5,50,0,0,,
20240037,2024/10/04,C,20231553,2101830053,,100,100,,0,100,2,2024/10/04,2100,100,0,0,0,0,6,0,0,0,0,0,0,GM OPF,2024/02/07,0,0,,,2,100,S20240403,2024/10/07,,,5,301,0,20240036,2101830053,0,,4,,M/S CLASSIC FOAM INDUSTRIES KANPUR,,,0,,0,,,,,,,0,Y,09ACXPK1726G2Z8,5806,N,N,20,2.5,50,2.5,50,0,0,,
20240038,2024/10/04,M,20230390,2101126386,,6615,6615,,S009925009,6615,19,2024/10/04,139172.625,6511,0,104,0,0,42,0,34.45,9.43,0,0,0,GM OPF,2024/24/05,0,0,,,2,6511,S20240279,2024/13/06,,,5,304,0,20240037,2101126386,1,,1,,,,,202400127,N,0,,,,2024/24/06,20240039,6,0,Y,09ADWPK1340G1ZE,5407,N,N,21.375,6,8483.74,6,8483.74,0,0,3,2024
20240039,2024/10/04,M,20230422,2101787008,,3185,3185,,M000421005,3185,40,2024/10/04,62669.0076,3156,0,29,0,0,96,0,34.68,29.73,0,0,0,GM OPF,2024/23/05,0,0,,,2,3156,S20240219,2024/28/05,,,5,101,0,20240038,2101787008,1,,1,,,,,202400115,N,0,,,,2024/31/05,20240028,6,0,Y,09AAACM9362J1Z2,5806,N,N,19.8571,2.5,1581.12,2.5,1581.12,0,0,3,2024
20240040,2024/12/04,M,20230161,2101787014,,13389,13389,,S009925009,13389,20,2024/12/04,,0,0,0,13389,0,0,0,0,12.28,0,0,0,GM OPF,2024/14/05,0,0,,,1,0,,,,,,,0,20240039,2101787014,1,,7,,,,,0,,0,PICS/DM OBSERVED 136 - 140 AGAINST SPECIFIED 142 MIN.,,,,,,0,Y,09ADWPK1340G1ZE,5806,N,N,6.3619,2.5,2129.49,2.5,2129.49,0,0,,
20240041,2024/12/04,M,20230072,2101211560,,5974.15,5974.15,,R001121001,5974.15,24000008,2024/12/04,1055333.412,5894.15,0,80,0,0,30,0,34.53,8.86,0,0,0,GM OPF,2024/24/05,0,0,,,2,5894.15,SA20240014,2024/13/06,,,5,10201,0,20240041,2101211560,1,,22,,,,,202400129,N,0,,,,2024/28/06,20240046,6,0,N,27AAACT0220G1ZX,5208,N,N,229.52,0,0,0,0,5,68559.35,3,2024
